"p_ID","Default_Names","Dead_Code","Total_Blocks"
39034334,2,0,802
39209244,7,0,158
39275190,0,0,27
39356130,0,0,1122
39417438,1,1,4
39477114,5,0,20
39549744,2,0,228
39630924,1,0,25
39655788,0,0,436
39746358,0,0,25
39761092,3,0,42
39795376,1,0,16
39901492,3,0,31
40017722,5,0,211
40026316,0,0,46
40068612,2,0,19
40116386,0,0,24
40348748,3,2,103
40376006,0,0,755
40587684,1,0,91
40687276,1,0,64
40699482,0,24,5416
40721520,0,0,4
40768792,0,1,36
40783248,0,0,18
40813878,0,0,135
40862180,0,0,96
40937008,2,8,485
40938070,0,1,68
40967344,0,0,11
41020876,0,0,76
41060588,2,5,3368
41167506,16,0,282
41191900,1,1,172
41283078,14,33,565
41350062,2,0,24
41359706,8,0,156
41440772,0,0,7
41484116,0,2,112
41582060,1,0,13
41638360,1,1,17
41675042,0,0,66
41677014,0,0,33
41686914,1,0,12
41762236,0,0,41
42051658,0,0,22
42071848,1,5,113
42182900,0,4,35
42185138,0,0,6
42201082,1,4,309
42477182,1,0,17
42478168,1,0,87
42549672,0,0,2
42573920,0,0,387
42691654,1,0,90
42845138,0,0,20
43330140,1,0,59
43482724,1,0,14
43489824,0,0,49
43520618,2,0,33
43593734,1,0,29
43640788,1,0,33
43687954,0,0,134
43723716,0,0,35
43764712,3,0,310
43904978,0,0,16
43938008,0,0,130
43940108,0,0,183
44071470,1,0,21
44074956,2,0,19
44077870,1,0,16
44086142,0,0,25
44102872,1,0,195
44112144,0,0,27
44148994,0,0,30
44265416,3,0,201
44307378,0,0,82
44327174,0,0,8
44407818,1,3,26
44472414,0,0,29
44518622,0,0,9
44533652,2,0,14
44535110,2,3,7
44595632,0,0,57
44609024,0,0,184
44740154,0,5,18
44758050,0,8,44
44851668,2,0,121
44928800,4,19,983
45044840,0,0,18
45080438,1,0,30
45225156,4,0,362
45260650,3,1,67
45346026,10,0,208
45476070,2,4,84
45500172,0,0,78
45645080,1,0,13
45662922,0,0,28
45873642,1,0,30
45888058,4,0,39
45903886,0,0,96
45905312,0,0,4
45931442,0,0,2064
45941340,0,0,11
45970016,1,0,116
45999482,0,1,434
46050746,0,1,52
46124900,10,0,262
46196348,0,0,9
46209504,7,0,127
46213336,0,0,30
46370982,3,0,14
46373260,1,0,27
46542120,1,9,27
46548164,5,17,177
46568278,0,0,15
46617168,1,0,14
46759026,0,0,109
46772794,0,1,433
46773506,2,0,21
46788780,2,0,8
